episode,task_index,color,x,y,z,grasp_frame
0,0,yellow,0.2809542374710939,-0.08320745497493624,-0.001087395640337968,252
1,0,yellow,0.30452262253307044,-0.08090891032058109,0.008110703937923527,251
2,0,yellow,0.3162553422402632,-0.042538895565491404,0.01982728327167016,274
3,0,yellow,0.27632693070979814,-0.11856626153474399,0.017454769235622614,250
4,0,yellow,0.31044183175897266,0.011226289560072863,0.017746888895842305,223
5,0,yellow,0.30685011353501424,0.018166550577888033,0.0346386284160093,189
6,0,yellow,0.3012494044920482,-0.049158392486426575,0.0038412812672306146,206
7,0,yellow,0.3044084736721911,-0.05207488222026041,0.02720993090565975,195
8,1,blue,0.2893273828791869,-0.032704398851214386,-0.0069947485234994194,149
9,1,blue,0.2979186156496655,-0.0524901917982097,0.011759745548890477,187
10,1,blue,0.2846641813010014,-0.10259457230950375,0.021131972201142726,191
11,1,blue,0.3091107379590835,-0.05472531650344849,-0.006588810709606027,221
12,1,blue,0.27986433542689937,-0.10633217466766834,0.016742722350436237,171
13,1,blue,0.2928269325687033,-0.10620948532250558,0.0014054240895140097,166
14,1,blue,0.2521991743856134,0.08657971639176341,0.0329172366540566,196
15,1,blue,0.2914359117306256,0.07613339504738033,0.022408042180452364,154
16,2,green,0.2693062069895663,-0.11693232616082508,-0.003257951289716371,202
17,2,green,0.29727615897553084,0.0024786817338117943,0.004003276230109307,153
18,2,green,0.3207361790516807,-0.04349083701087666,0.009461454834915006,170
19,2,green,0.2951209657670955,-0.06146257432198961,0.01747202387833513,149
20,2,green,0.2816528216525702,0.05024004985135211,0.01888968421482172,144
21,2,green,0.3142523792876136,0.026799542664587818,-0.007406104890839593,191
22,2,green,0.26453296384263264,-0.13007220435573855,0.009748232567276763,171
23,2,green,0.2953467140240918,0.021251187662900697,0.05355644188561305,172
24,3,violet,0.25369384857404087,-0.12730133430502077,0.012242297348401529,159
25,3,violet,0.3088533322176278,0.03974289995005009,0.036568882560538765,136
26,3,violet,0.3253987679922682,0.02820211301064883,0.02442429331889713,144
27,3,violet,0.307185453276165,-0.02532194536316651,0.02542976004761742,147
28,3,violet,0.27664278437739825,-0.07775956530551995,0.008762492835881971,156
29,3,violet,0.31296239726436836,-0.004745477743460942,-0.01705017191517958,160
31,3,violet,0.2777580509369942,-0.005267248931589906,0.04815215409780528,105
32,4,red,0.2994156338610876,-0.08736444147352677,-0.01207590493000324,169
33,4,red,0.3019667792703433,0.008815370074756489,0.0044849861340151564,165
34,4,red,0.29333157300068957,-0.05767122851213791,0.006428586237477149,152
35,4,red,0.3075724563230165,-0.06715255093523254,0.006764299177470359,234
36,4,red,0.30555463835914093,0.02076866578501371,0.014678386126295684,130
37,4,red,0.26957597251350474,0.023938547953189112,0.0031924031525451396,131
38,4,red,0.29769834380198235,0.023015884782005808,0.02241257454533223,109
39,4,red,0.29561242977962704,0.033028096760421996,-0.024148184839293832,208
40,0,yellow,0.2032610327250566,-0.15875085597342312,0.029880993995463484,201
41,0,yellow,0.24698359720210653,-0.04534734415102455,0.0428121803095919,141
42,1,blue,0.21830257273396275,0.13339792585984636,0.026236221978321442,168
43,1,blue,0.2543950906518898,0.07724224117427682,0.02881403140705935,165
44,2,green,0.2651871270339433,0.12261581153248434,0.008974466230072045,416
45,2,green,0.22055390026324326,-0.097382306982713,0.06813369308216925,174
46,3,violet,0.1564994454212631,-0.14122114214528142,0.06547026679956203,129
47,3,violet,0.2595325404117862,-0.07927310331448284,0.0478931687641784,141
48,4,red,0.20110733306188022,-0.0743359491007986,0.06434362105403163,99
49,4,red,0.2498772554557598,0.10660617130257649,0.027363580774752747,195
50,5,orange,0.28672304886894473,0.018296603685820496,0.010269852490856851,111
51,5,orange,0.18806599675178806,0.1930949802301934,0.03478244078505478,182
52,5,orange,0.07600976775103607,0.2543151405880143,0.04313313317208258,198
53,5,orange,0.028994435619401043,0.2633060273493658,0.07422409666080387,152
54,5,orange,0.3086097903586582,-0.028703740604334678,-0.006749983901215027,211
55,5,orange,0.23078775213087405,-0.16937053370660138,0.028973239353745198,147
56,5,orange,0.1422220025220835,-0.22729583312436544,0.045950955232045884,175
57,5,orange,0.30710221614350125,-0.0386173559795861,0.0209977495058314,141
58,5,orange,0.30003860936501664,0.02274170833076236,-0.015405153654060907,170
59,5,orange,0.24876567873286706,0.07987746963014412,0.031377665599363655,142
